cnpj,id,classe,fundo,minimo,taxa,estudo,rendimento,data,patrimonio,momento,custo
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,27.040808,20210722,36469026.79,-9,446.1593771183173
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,27.0227537,20210723,36444677.57,18,37.94804228856091
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.927534,20210726,36316257.97,-19,392.2040181646247
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.7142976,20210727,36028673.29,7,468.67783431663634
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.7724543,20210728,36107107.29,24,308.00157770478626
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.7980971,20210729,36141690.87,-27,400.95821669055647
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.2805847,20210730,35443739.31,8,441.71372229454
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.3321426,20210802,35513273.74,-13,169.54694783395797
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.364223,20210803,35556539.48,13,122.73921629291907
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.3522301,20210804,35540364.95,28,220.02753462540642
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.4076999,20210805,35615175.27,16,396.62825367170035
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.476998,20210806,35708635.27,-14,59.759604648876476
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.5130927,20210809,35757315.05,10,367.50572268175983
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.4550775,20210810,35679071.9,-11,183.6899685597022
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.398524600000002,20210811,35602800.84,19,5.4062018513784675
59.281.253/0001-23,21680881000109,Fundo Multimercado,QUARTET II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,0.0,61,89,26.3819386,20210812,35580431.88,3,168.61193081573654
